"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
"2019","T","NZ",,"SKJ","SKIPJACK TUNA","5"
"2020","T","NZ",,"ALB","ALBACORE","2825"
"2020","T","NZ",,"SKJ","SKIPJACK TUNA","6"
"2020","T","NZ",,"YFT","YELLOWFIN TUNA","1"
"2021","T","NZ",,"ALB","ALBACORE","3383"
"2021","T","NZ",,"SKJ","SKIPJACK TUNA","3"
"2023","T","NZ",,"ALB","ALBACORE","864"
"2023","T","NZ",,"SKJ","SKIPJACK TUNA","10"
"2023","T","NZ",,"YFT","YELLOWFIN TUNA","1"
"2022","T","NZ",,"ALB","ALBACORE","2377"
"2022","T","NZ",,"SKJ","SKIPJACK TUNA","3"
"1983","O","FJ",,"YFT","YELLOWFIN TUNA","3"
"1985","O","FJ",,"YFT","YELLOWFIN TUNA","3"
"1986","O","FJ",,"SKJ","SKIPJACK TUNA","8"
"1986","O","FJ",,"YFT","YELLOWFIN TUNA","6"
"1987","O","FJ",,"SKJ","SKIPJACK TUNA","14"
"1987","O","FJ",,"YFT","YELLOWFIN TUNA","13"
"1988","O","FJ",,"SKJ","SKIPJACK TUNA","13"
"1988","O","FJ",,"YFT","YELLOWFIN TUNA","9"
"1989","O","FJ",,"SKJ","SKIPJACK TUNA","15"
"1989","O","FJ",,"YFT","YELLOWFIN TUNA","26"
"1990","O","FJ",,"SKJ","SKIPJACK TUNA","18"
"1990","O","FJ",,"YFT","YELLOWFIN TUNA","20"
"1991","O","FJ",,"SKJ","SKIPJACK TUNA","22"
"1991","O","FJ",,"YFT","YELLOWFIN TUNA","13"
"1992","O","FJ",,"SKJ","SKIPJACK TUNA","43"
"1992","O","FJ",,"YFT","YELLOWFIN TUNA","15"
"1993","O","FJ",,"SKJ","SKIPJACK TUNA","70"
"1993","O","FJ",,"YFT","YELLOWFIN TUNA","104"
"1994","O","FJ",,"SKJ","SKIPJACK TUNA","41"
"1994","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"1995","O","FJ",,"SKJ","SKIPJACK TUNA","54"
"1995","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"1996","O","FJ",,"SKJ","SKIPJACK TUNA","58"
"1996","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"1997","O","FJ",,"SKJ","SKIPJACK TUNA","54"
"1997","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"1998","O","FJ",,"SKJ","SKIPJACK TUNA","54"
"1998","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"1999","O","FJ",,"SKJ","SKIPJACK TUNA","54"
"1999","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"2000","O","FJ",,"SKJ","SKIPJACK TUNA","54"
"2000","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"2001","O","FJ",,"SKJ","SKIPJACK TUNA","54"
"2001","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"2002","O","FJ",,"SKJ","SKIPJACK TUNA","54"
"2002","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"2003","O","FJ",,"SKJ","SKIPJACK TUNA","54"
"2003","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"2004","O","FJ",,"SKJ","SKIPJACK TUNA","54"
"2004","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"2005","O","FJ",,"SKJ","SKIPJACK TUNA","54"
"2005","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"2006","O","FJ",,"SKJ","SKIPJACK TUNA","54"
"2006","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"2007","O","FJ",,"SKJ","SKIPJACK TUNA","54"
"2007","O","FJ",,"YFT","YELLOWFIN TUNA","41"
"2020","O","FJ",,"BET","BIGEYE TUNA","1"
"2020","O","FJ",,"SKJ","SKIPJACK TUNA","2"
"2020","O","FJ",,"YFT","YELLOWFIN TUNA","37"
"2021","O","FJ",,"SKJ","SKIPJACK TUNA","14"
"2021","O","FJ",,"YFT","YELLOWFIN TUNA","55"
"2023","O","FJ",,"SKJ","SKIPJACK TUNA","16"
"2023","O","FJ",,"YFT","YELLOWFIN TUNA","63"
"2022","O","FJ",,"SKJ","SKIPJACK TUNA","2"
"2022","O","FJ",,"YFT","YELLOWFIN TUNA","52"
"2023","H","ID",,"ALB","ALBACORE","450"
"2023","H","ID",,"BET","BIGEYE TUNA","850"
"2023","H","ID",,"YFT","YELLOWFIN TUNA","22150"
"2023","H","ID",,"MLS","STRIPED MARLIN","207"
"2023","H","ID",,"SWO","SWORDFISH","29"
"1984","H","ID",,"BET","BIGEYE TUNA","88"
"1984","H","ID",,"YFT","YELLOWFIN TUNA","2759"
"1984","H","ID",,"SWO","SWORDFISH","7"
"1985","H","ID",,"BET","BIGEYE TUNA","96"
"1985","H","ID",,"YFT","YELLOWFIN TUNA","3003"
"1985","H","ID",,"SWO","SWORDFISH","8"
"1986","H","ID",,"BET","BIGEYE TUNA","100"
"1986","H","ID",,"YFT","YELLOWFIN TUNA","3127"
"1986","H","ID",,"SWO","SWORDFISH","9"
"1987","H","ID",,"BET","BIGEYE TUNA","113"
"1987","H","ID",,"YFT","YELLOWFIN TUNA","3553"
"1987","H","ID",,"SWO","SWORDFISH","9"
"1988","H","ID",,"BET","BIGEYE TUNA","134"
"1988","H","ID",,"YFT","YELLOWFIN TUNA","4199"
"1988","H","ID",,"SWO","SWORDFISH","9"
"1989","H","ID",,"BET","BIGEYE TUNA","146"
"1989","H","ID",,"YFT","YELLOWFIN TUNA","4574"
"1989","H","ID",,"SWO","SWORDFISH","9"
"1990","H","ID",,"BET","BIGEYE TUNA","167"
"1990","H","ID",,"YFT","YELLOWFIN TUNA","5247"
"1990","H","ID",,"SWO","SWORDFISH","10"
"1991","H","ID",,"BET","BIGEYE TUNA","171"
"1991","H","ID",,"YFT","YELLOWFIN TUNA","5366"
"1991","H","ID",,"SWO","SWORDFISH","14"
"1992","H","ID",,"BET","BIGEYE TUNA","196"
"1992","H","ID",,"YFT","YELLOWFIN TUNA","6169"
"1992","H","ID",,"SWO","SWORDFISH","19"
"1993","H","ID",,"BET","BIGEYE TUNA","180"
"1993","H","ID",,"YFT","YELLOWFIN TUNA","5652"
"1993","H","ID",,"SWO","SWORDFISH","15"
"1994","H","ID",,"BET","BIGEYE TUNA","200"
"1994","H","ID",,"YFT","YELLOWFIN TUNA","6269"
"1994","H","ID",,"SWO","SWORDFISH","24"
"1995","H","ID",,"BET","BIGEYE TUNA","213"
"1995","H","ID",,"YFT","YELLOWFIN TUNA","6680"
"1995","H","ID",,"SWO","SWORDFISH","25"
"1996","H","ID",,"BET","BIGEYE TUNA","330"
"1996","H","ID",,"YFT","YELLOWFIN TUNA","10368"
"1996","H","ID",,"SWO","SWORDFISH","30"
"1997","H","ID",,"BET","BIGEYE TUNA","246"
"1997","H","ID",,"YFT","YELLOWFIN TUNA","7714"
"1997","H","ID",,"SWO","SWORDFISH","25"
"1998","H","ID",,"BET","BIGEYE TUNA","324"
"1998","H","ID",,"YFT","YELLOWFIN TUNA","10185"
"1998","H","ID",,"SWO","SWORDFISH","31"
"1999","H","ID",,"BET","BIGEYE TUNA","308"
"1999","H","ID",,"YFT","YELLOWFIN TUNA","9666"
"1999","H","ID",,"SWO","SWORDFISH","32"
"2000","H","ID",,"BET","BIGEYE TUNA","328"
"2000","H","ID",,"YFT","YELLOWFIN TUNA","10285"
"2000","H","ID",,"SWO","SWORDFISH","4"
"2001","H","ID",,"BET","BIGEYE TUNA","301"
"2001","H","ID",,"YFT","YELLOWFIN TUNA","9464"
"2001","H","ID",,"SWO","SWORDFISH","4"
"2002","H","ID",,"BET","BIGEYE TUNA","290"
"2002","H","ID",,"YFT","YELLOWFIN TUNA","9097"
"2002","H","ID",,"SWO","SWORDFISH","4"
"2003","H","ID",,"BET","BIGEYE TUNA","296"
"2003","H","ID",,"YFT","YELLOWFIN TUNA","9279"
"2003","H","ID",,"SWO","SWORDFISH","4"
"2004","H","ID",,"BET","BIGEYE TUNA","389"
"2004","H","ID",,"YFT","YELLOWFIN TUNA","12217"
"2004","H","ID",,"SWO","SWORDFISH","4"
"2005","H","ID",,"BET","BIGEYE TUNA","83"
"2005","H","ID",,"YFT","YELLOWFIN TUNA","4154"
"2005","H","ID",,"SWO","SWORDFISH","4"
"2006","H","ID",,"BET","BIGEYE TUNA","86"
"2006","H","ID",,"YFT","YELLOWFIN TUNA","4249"
"2006","H","ID",,"SWO","SWORDFISH","4"
"2007","H","ID",,"BET","BIGEYE TUNA","74"
"2007","H","ID",,"YFT","YELLOWFIN TUNA","3669"
"2007","H","ID",,"SWO","SWORDFISH","4"
"2008","H","ID",,"BET","BIGEYE TUNA","106"
"2008","H","ID",,"YFT","YELLOWFIN TUNA","3505"
"2008","H","ID",,"SWO","SWORDFISH","4"
"2009","H","ID",,"BET","BIGEYE TUNA","155"
"2009","H","ID",,"YFT","YELLOWFIN TUNA","15345"
"2009","H","ID",,"SWO","SWORDFISH","4"
"2010","H","ID",,"BET","BIGEYE TUNA","218"
"2010","H","ID",,"YFT","YELLOWFIN TUNA","10692"
"2010","H","ID",,"SWO","SWORDFISH","4"
"2011","H","ID",,"BET","BIGEYE TUNA","444"
"2011","H","ID",,"YFT","YELLOWFIN TUNA","10738"
"2011","H","ID",,"SWO","SWORDFISH","4"
"2012","H","ID",,"BET","BIGEYE TUNA","1231"
"2012","H","ID",,"YFT","YELLOWFIN TUNA","14269"
"2012","H","ID",,"SWO","SWORDFISH","4"
"2013","H","ID",,"BET","BIGEYE TUNA","471"
"2013","H","ID",,"YFT","YELLOWFIN TUNA","11309"
"2013","H","ID",,"SWO","SWORDFISH","4"
"2014","H","ID",,"BET","BIGEYE TUNA","2079"
"2014","H","ID",,"YFT","YELLOWFIN TUNA","23157"
"2014","H","ID",,"SWO","SWORDFISH","4"
"2015","H","ID",,"BET","BIGEYE TUNA","2824"
"2015","H","ID",,"YFT","YELLOWFIN TUNA","29679"
"2015","H","ID",,"SWO","SWORDFISH","4"
"2016","H","ID",,"BET","BIGEYE TUNA","1886"
"2016","H","ID",,"YFT","YELLOWFIN TUNA","20650"
"2016","H","ID",,"SWO","SWORDFISH","4"
"2017","H","ID",,"BET","BIGEYE TUNA","463"
"2017","H","ID",,"YFT","YELLOWFIN TUNA","12512"
"2017","H","ID",,"SWO","SWORDFISH","4"
"2018","H","ID",,"BET","BIGEYE TUNA","634"
"2018","H","ID",,"YFT","YELLOWFIN TUNA","23370"
"2018","H","ID",,"SWO","SWORDFISH","4"
"2019","H","ID",,"ALB","ALBACORE","12"
"2019","H","ID",,"BET","BIGEYE TUNA","684"
"2019","H","ID",,"YFT","YELLOWFIN TUNA","25213"
"2019","H","ID",,"SWO","SWORDFISH","4"
"2020","H","ID",,"BET","BIGEYE TUNA","759"
"2020","H","ID",,"YFT","YELLOWFIN TUNA","27287"
"2020","H","ID",,"SWO","SWORDFISH","4"
"2021","H","ID",,"BET","BIGEYE TUNA","934"
