"yy","cond_code","variable","val"
2017,"A3","soth",94
2017,"D","jp",92
2017,"D","circ",79
2017,"D","j",26
2017,"D","soth",29
2017,"NULL","jp",0
2017,"NULL","circ",0
2017,"NULL","j",0
2017,"NULL","soth",0
2017,"U","jp",100
2017,"U","circ",100
2017,"U","j",0
2017,"U","soth",100
2018,"A0","jp",100
2018,"A0","circ",100
2018,"A0","j",100
2018,"A0","soth",0
2018,"A1","jp",93
2018,"A1","circ",95
2018,"A1","j",60
2018,"A1","soth",99
2018,"A2","jp",66
2018,"A2","circ",96
2018,"A2","j",0
2018,"A2","soth",55
2018,"A3","jp",96
2018,"A3","circ",97
2018,"A3","j",0
2018,"A3","soth",95
2018,"D","jp",86
2018,"D","circ",99
2018,"D","j",80
2018,"D","soth",93
2018,"D3","jp",0
2018,"D3","circ",100
2018,"D3","j",0
2018,"D3","soth",0
2018,"NULL","jp",0
2018,"NULL","circ",0
2018,"NULL","j",0
2018,"NULL","soth",0
2018,"U","jp",100
2018,"U","circ",100
2018,"U","j",0
2018,"U","soth",100
2019,"A0","jp",0
2019,"A0","circ",100
2019,"A0","j",100
2019,"A0","soth",0
2019,"A1","jp",85
2019,"A1","circ",89
2019,"A1","j",91
2019,"A1","soth",99
2019,"A2","jp",58
2019,"A2","circ",97
2019,"A2","j",100
2019,"A2","soth",96
2019,"A3","jp",92
2019,"A3","circ",99
2019,"A3","j",10
2019,"A3","soth",98
2019,"D","jp",89
2019,"D","circ",99
2019,"D","j",74
2019,"D","soth",97
2019,"NULL","jp",0
2019,"NULL","circ",100
2019,"NULL","j",0
2019,"NULL","soth",0
2019,"U","jp",0
2019,"U","circ",100
2019,"U","j",0
2019,"U","soth",100
2020,"A0","jp",0
2020,"A0","circ",100
2020,"A0","j",0
2020,"A0","soth",0
2020,"A1","jp",73
2020,"A1","circ",98
2020,"A1","j",100
2020,"A1","soth",100
2020,"A2","jp",52
2020,"A2","circ",97
2020,"A2","j",0
2020,"A2","soth",83
2020,"A3","jp",94
2020,"A3","circ",99
2020,"A3","j",0
2020,"A3","soth",98
2020,"D","jp",75
2020,"D","circ",99
2020,"D","j",0
2020,"D","soth",94
2020,"NULL","jp",0
2020,"NULL","circ",100
2020,"NULL","j",0
2020,"NULL","soth",0
2020,"U","jp",0
2020,"U","circ",100
2020,"U","j",0
2020,"U","soth",100
2021,"A0","jp",0
2021,"A0","circ",100
2021,"A0","j",0
2021,"A0","soth",0
2021,"A1","jp",42
2021,"A1","circ",94
2021,"A1","j",23
2021,"A1","soth",95
2021,"A2","jp",10
2021,"A2","circ",98
2021,"A2","j",0
2021,"A2","soth",100
2021,"A3","jp",100
2021,"A3","circ",100
2021,"A3","j",0
2021,"A3","soth",100
2021,"D","jp",57
2021,"D","circ",100
2021,"D","j",40
2021,"D","soth",98
2021,"NULL","jp",0
2021,"NULL","circ",100
2021,"NULL","j",0
2021,"NULL","soth",0
2021,"U","jp",0
2021,"U","circ",100
2021,"U","j",0
2021,"U","soth",0
2022,"A0","jp",0
2022,"A0","circ",100
2022,"A0","j",0
2022,"A0","soth",0
2022,"A1","jp",97
2022,"A1","circ",92
2022,"A1","j",67
2022,"A1","soth",100
2022,"A2","jp",15
2022,"A2","circ",98
2022,"A2","j",0
2022,"A2","soth",0
2022,"A3","jp",100
2022,"A3","circ",100
2022,"A3","j",0
2022,"A3","soth",100
2022,"D","jp",100
2022,"D","circ",100
2022,"D","j",100
2022,"D","soth",100
2022,"NULL","jp",0
2022,"NULL","circ",100
2022,"NULL","j",0
2022,"NULL","soth",0
2022,"U","jp",100
2022,"U","circ",100
2022,"U","j",0
2022,"U","soth",0
2023,"A1","jp",0
2023,"A1","circ",73
2023,"A1","j",0
2023,"A1","soth",100
2023,"A2","jp",0
2023,"A2","circ",89
2023,"A2","j",0
2023,"A2","soth",100
2023,"A3","jp",0
2023,"A3","circ",100
2023,"A3","j",0
2023,"A3","soth",100
2023,"D","jp",0
2023,"D","circ",100
2023,"D","j",0
2023,"D","soth",100
2023,"U","jp",0
2023,"U","circ",100
2023,"U","j",0
2023,"U","soth",0
