[[1]]
       Yr Bio_smry
1        1975         19278.80          19278.80        19278.80        19278.80              19278.80              19278.80               19278.80             19278.80             19278.80                   19278.80
2        1976          2890.52           2890.52         2890.52         2890.52               2890.52               2890.52                2890.52              2890.52              2890.52                    2890.52
3        1977          5096.18           5096.18         5096.18         5096.18               5096.18               5096.18                5096.18              5096.18              5096.18                    5096.18
4        1978          5118.48           5118.48         5118.48         5118.48               5118.48               5118.48                5118.48              5118.48              5118.48                    5118.48
5        1979          4020.99           4020.99         4020.99         4020.99               4020.99               4020.99                4020.99              4020.99              4020.99                    4020.99
6        1980          4427.31           4427.31         4427.31         4427.31               4427.31               4427.31                4427.31              4427.31              4427.31                    4427.31
7        1981          3527.37           3527.37         3527.37         3527.37               3527.37               3527.37                3527.37              3527.37              3527.37                    3527.37
8        1982          2567.00           2567.00         2567.00         2567.00               2567.00               2567.00                2567.00              2567.00              2567.00                    2567.00
9        1983          3284.31           3284.31         3284.31         3284.31               3284.31               3284.31                3284.31              3284.31              3284.31                    3284.31
10       1984          4431.92           4431.92         4431.92         4431.92               4431.92               4431.92                4431.92              4431.92              4431.92                    4431.92
11       1985          3981.28           3981.28         3981.28         3981.28               3981.28               3981.28                3981.28              3981.28              3981.28                    3981.28
12       1986          2949.27           2949.27         2949.27         2949.27               2949.27               2949.27                2949.27              2949.27              2949.27                    2949.27
13       1987          3351.70           3351.70         3351.70         3351.70               3351.70               3351.70                3351.70              3351.70              3351.70                    3351.70
14       1988          2900.26           2900.26         2900.26         2900.26               2900.26               2900.26                2900.26              2900.26              2900.26                    2900.26
15       1989          2947.73           2947.73         2947.73         2947.73               2947.73               2947.73                2947.73              2947.73              2947.73                    2947.73
16       1990          2980.96           2980.96         2980.96         2980.96               2980.96               2980.96                2980.96              2980.96              2980.96                    2980.96
17       1991          3185.98           3185.98         3185.98         3185.98               3185.98               3185.98                3185.98              3185.98              3185.98                    3185.98
18       1992          3735.32           3735.32         3735.32         3735.32               3735.32               3735.32                3735.32              3735.32              3735.32                    3735.32
19       1993          3024.91           3024.91         3024.91         3024.91               3024.91               3024.91                3024.91              3024.91              3024.91                    3024.91
20       1994          2668.82           2668.82         2668.82         2668.82               2668.82               2668.82                2668.82              2668.82              2668.82                    2668.82
21       1995          1794.57           1794.57         1794.57         1794.57               1794.57               1794.57                1794.57              1794.57              1794.57                    1794.57
22       1996          1262.50           1262.50         1262.50         1262.50               1262.50               1262.50                1262.50              1262.50              1262.50                    1262.50
23       1997          1247.28           1247.28         1247.28         1247.28               1247.28               1247.28                1247.28              1247.28              1247.28                    1247.28
24       1998          1083.89           1083.89         1083.89         1083.89               1083.89               1083.89                1083.89              1083.89              1083.89                    1083.89
25       1999          1112.08           1112.08         1112.08         1112.08               1112.08               1112.08                1112.08              1112.08              1112.08                    1112.08
26       2000          1196.64           1196.64         1196.64         1196.64               1196.64               1196.64                1196.64              1196.64              1196.64                    1196.64
27       2001          1202.66           1202.66         1202.66         1202.66               1202.66               1202.66                1202.66              1202.66              1202.66                    1202.66
28       2002          1494.86           1494.86         1494.86         1494.86               1494.86               1494.86                1494.86              1494.86              1494.86                    1494.86
29       2003          1515.92           1515.92         1515.92         1515.92               1515.92               1515.92                1515.92              1515.92              1515.92                    1515.92
30       2004          2055.84           2055.84         2055.84         2055.84               2055.84               2055.84                2055.84              2055.84              2055.84                    2055.84
31       2005          2026.57           2026.57         2026.57         2026.57               2026.57               2026.57                2026.57              2026.57              2026.57                    2026.57
32       2006          1573.42           1573.42         1573.42         1573.42               1573.42               1573.42                1573.42              1573.42              1573.42                    1573.42
33       2007          1617.80           1617.80         1617.80         1617.80               1617.80               1617.80                1617.80              1617.80              1617.80                    1617.80
34       2008          1243.36           1243.36         1243.36         1243.36               1243.36               1243.36                1243.36              1243.36              1243.36                    1243.36
35       2009          1277.09           1277.09         1277.09         1277.09               1277.09               1277.09                1277.09              1277.09              1277.09                    1277.09
36       2010          1256.44           1256.44         1256.44         1256.44               1256.44               1256.44                1256.44              1256.44              1256.44                    1256.44
37       2011          1080.71           1080.71         1080.71         1080.71               1080.71               1080.71                1080.71              1080.71              1080.71                    1080.71
38       2012          1261.46           1261.46         1261.46         1261.46               1261.46               1261.46                1261.46              1261.46              1261.46                    1261.46
39       2013          1150.18           1150.18         1150.18         1150.18               1150.18               1150.18                1150.18              1150.18              1150.18                    1150.18
40       2014          1141.96           1141.96         1141.96         1141.96               1141.96               1141.96                1141.96              1141.96              1141.96                    1141.96
41       2015          1292.57           1292.57         1292.57         1292.57               1292.57               1292.57                1292.57              1292.57              1292.57                    1292.57
42       2016          1304.82           1304.82         1304.82         1304.82               1304.82               1304.82                1304.82              1304.82              1304.82                    1304.82
43       2017          1238.22           1238.22         1238.22         1238.22               1238.22               1238.22                1238.22              1238.22              1238.22                    1238.22
44       2018          1223.47           1223.47         1223.47         1223.47               1223.47               1223.47                1223.47              1223.47              1223.47                    1223.47
45       2019          1157.84           1157.84         1157.84         1157.84               1157.84               1157.84                1157.84              1157.84              1157.84                    1157.84
46       2020          1696.41           1696.41         1696.41         1696.41               1696.41               1696.41                1696.41              1696.41              1696.41                    1696.41
47       2021          2084.47           2032.21         2389.80         2062.34               2026.27               2084.47                2032.21              2389.80              2062.34                    2026.27
48       2022          2412.29           2216.52         3059.07         2368.78               2290.75               2343.22                2149.31              2979.21              2300.56                    2224.69
49       2023          2775.09           2464.26         3757.57         2712.23               2592.66               2411.07                2129.94              3295.71              2355.38                    2254.31
50       2024          3070.55           2663.34         4366.58         2990.56               2837.13               2392.25                2077.22              3413.93              2330.98                    2220.18
51       2025          3274.70           2795.65         4825.44         3181.67               3004.55               2371.04                2046.00              3455.75              2308.03                    2193.89
52       2026          3411.48           2883.43         5149.53         3309.40               3116.69               2359.64                2031.99              3471.80              2296.20                    2180.87
53       2027          3501.48           2941.17         5370.46         3393.36               3190.75               2354.44                2026.18              3478.48              2290.94                    2175.17
54       2028          3559.53           2978.47         5517.31         3447.45               3238.75               2352.19                2023.84              3481.41              2288.71                    2172.78
55       2029          3596.45           3002.29         5613.20         3481.84               3269.47               2351.24                2022.91              3482.75              2287.78                    2171.79
56       2030          3619.75           3017.43         5675.07         3503.54               3289.00               2350.84                2022.54              3483.37              2287.40                    2171.39
57       2031          3634.39           3027.00         5714.69         3517.16               3301.35               2350.68                2022.39              3483.67              2287.24                    2171.23
58       2032          3643.55           3033.05         5739.94         3525.69               3309.14               2350.61                2022.33              3483.81              2287.18                    2171.16
59       2033          3649.28           3036.86         5755.98         3531.02               3314.05               2350.58                2022.31              3483.89              2287.15                    2171.14
60       2034          3652.85           3039.26         5766.15         3534.35               3317.13               2350.57                2022.30              3483.92              2287.14                    2171.12
61       2035          3655.08           3040.77         5772.59         3536.42               3319.07               2350.56                2022.29              3483.94              2287.14                    2171.12
62       2036          3656.47           3041.72         5776.67         3537.72               3320.29               2350.56                2022.29              3483.94              2287.14                    2171.12
63       2037          3657.33           3042.31         5779.24         3538.52               3321.05               2350.56                2022.29              3483.95              2287.13                    2171.12
64       2038          3657.87           3042.69         5780.87         3539.03               3321.54               2350.56                2022.29              3483.95              2287.13                    2171.12
65       2039          3658.21           3042.93         5781.90         3539.34               3321.84               2350.56                2022.29              3483.95              2287.13                    2171.12
66       2040          3658.42           3043.08         5782.55         3539.53               3322.03               2350.56                2022.29              3483.95              2287.13                    2171.12

[[29]]
   Year - Recruitment Btgt - S/R Curve High - S/R Curve Low - S/R Curve MSY - S/R Curve Status Quo - S/R Curve Btgt - Avg 20 Yr Recr High - Avg 20 Yr Recr Low - Avg 20 Yr Recr MSY - Avg 20 Yr Recr Status Quo - Avg 20 Yr Recr
1                1963         334.8750         334.8750        334.8750        334.8750               334.8750              334.8750              334.8750             334.8750             334.8750                    334.8750
2                1964         334.8880         334.8880        334.8880        334.8880               334.8880              334.8880              334.8880             334.8880             334.8880                    334.8880
3                1965         334.9100         334.9100        334.9100        334.9100               334.9100              334.9100              334.9100             334.9100             334.9100                    334.9100
