"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
"2017","T","US","HW","YFT","YELLOWFIN TUNA","431"
"2017","T","US","HW","MLS","STRIPED MARLIN","6"
"2018","T","US","HW","BET","BIGEYE TUNA","27"
"2018","T","US","HW","SKJ","SKIPJACK TUNA","84"
"2018","T","US","HW","YFT","YELLOWFIN TUNA","562"
"2018","T","US","HW","MLS","STRIPED MARLIN","12"
"2018","T","US","HW","SWO","SWORDFISH","1"
"2019","T","US","HW","ALB","ALBACORE","1"
"2019","T","US","HW","BET","BIGEYE TUNA","35"
"2019","T","US","HW","SKJ","SKIPJACK TUNA","105"
"2019","T","US","HW","YFT","YELLOWFIN TUNA","410"
"2019","T","US","HW","MLS","STRIPED MARLIN","13"
"2020","T","US","HW","BET","BIGEYE TUNA","18"
"2020","T","US","HW","SKJ","SKIPJACK TUNA","78"
"2020","T","US","HW","YFT","YELLOWFIN TUNA","293"
"2020","T","US","HW","MLS","STRIPED MARLIN","10"
"2021","T","US","HW","ALB","ALBACORE","1"
"2021","T","US","HW","BET","BIGEYE TUNA","12"
"2021","T","US","HW","SKJ","SKIPJACK TUNA","68"
"2021","T","US","HW","YFT","YELLOWFIN TUNA","330"
"2021","T","US","HW","MLS","STRIPED MARLIN","8"
"2022","T","US","HW","ALB","ALBACORE","1"
"2022","T","US","HW","BET","BIGEYE TUNA","13"
"2022","T","US","HW","SKJ","SKIPJACK TUNA","101"
"2022","T","US","HW","YFT","YELLOWFIN TUNA","345"
"2022","T","US","HW","MLS","STRIPED MARLIN","9"
"2023","O","TV",,"BET","BIGEYE TUNA","27"
"2023","O","TV",,"SKJ","SKIPJACK TUNA","194"
"2023","O","TV",,"YFT","YELLOWFIN TUNA","127"
"2005","O","TV",,"SKJ","SKIPJACK TUNA","8"
"2005","O","TV",,"YFT","YELLOWFIN TUNA","11"
"2006","O","TV",,"SKJ","SKIPJACK TUNA","9"
"2006","O","TV",,"YFT","YELLOWFIN TUNA","3"
"2007","O","TV",,"SKJ","SKIPJACK TUNA","17"
"2007","O","TV",,"YFT","YELLOWFIN TUNA","9"
"2008","O","TV",,"SKJ","SKIPJACK TUNA","12"
"2008","O","TV",,"YFT","YELLOWFIN TUNA","10"
"2009","O","TV",,"SKJ","SKIPJACK TUNA","16"
"2009","O","TV",,"YFT","YELLOWFIN TUNA","12"
"2010","O","TV",,"SKJ","SKIPJACK TUNA","16"
"2010","O","TV",,"YFT","YELLOWFIN TUNA","12"
"2011","O","TV",,"SKJ","SKIPJACK TUNA","2017"
"2011","O","TV",,"YFT","YELLOWFIN TUNA","797"
"2012","O","TV",,"SKJ","SKIPJACK TUNA","2224"
"2012","O","TV",,"YFT","YELLOWFIN TUNA","895"
"2013","O","TV",,"BET","BIGEYE TUNA","5"
"2013","O","TV",,"SKJ","SKIPJACK TUNA","67"
"2013","O","TV",,"YFT","YELLOWFIN TUNA","5"
"2014","O","TV",,"BET","BIGEYE TUNA","9"
"2014","O","TV",,"SKJ","SKIPJACK TUNA","155"
"2014","O","TV",,"YFT","YELLOWFIN TUNA","53"
"2015","O","TV",,"BET","BIGEYE TUNA","5"
"2015","O","TV",,"SKJ","SKIPJACK TUNA","49"
"2015","O","TV",,"YFT","YELLOWFIN TUNA","33"
"2016","O","TV",,"BET","BIGEYE TUNA","27"
"2016","O","TV",,"SKJ","SKIPJACK TUNA","194"
"2016","O","TV",,"YFT","YELLOWFIN TUNA","127"
"2017","O","TV",,"BET","BIGEYE TUNA","27"
"2017","O","TV",,"SKJ","SKIPJACK TUNA","194"
"2017","O","TV",,"YFT","YELLOWFIN TUNA","127"
"2018","O","TV",,"BET","BIGEYE TUNA","27"
"2018","O","TV",,"SKJ","SKIPJACK TUNA","194"
"2018","O","TV",,"YFT","YELLOWFIN TUNA","127"
"2019","O","TV",,"BET","BIGEYE TUNA","27"
"2019","O","TV",,"SKJ","SKIPJACK TUNA","194"
"2019","O","TV",,"YFT","YELLOWFIN TUNA","127"
"2020","O","TV",,"BET","BIGEYE TUNA","27"
"2020","O","TV",,"SKJ","SKIPJACK TUNA","194"
"2020","O","TV",,"YFT","YELLOWFIN TUNA","127"
"2021","O","TV",,"BET","BIGEYE TUNA","27"
"2021","O","TV",,"SKJ","SKIPJACK TUNA","194"
"2021","O","TV",,"YFT","YELLOWFIN TUNA","127"
"2022","O","TV",,"BET","BIGEYE TUNA","27"
"2022","O","TV",,"SKJ","SKIPJACK TUNA","194"
"2022","O","TV",,"YFT","YELLOWFIN TUNA","127"
"2023","O","NR",,"SKJ","SKIPJACK TUNA","2"
"2023","O","NR",,"YFT","YELLOWFIN TUNA","24"
"2008","O","NR",,"SKJ","SKIPJACK TUNA","1"
"2008","O","NR",,"YFT","YELLOWFIN TUNA","2"
"2009","O","NR",,"SKJ","SKIPJACK TUNA","1"
"2009","O","NR",,"YFT","YELLOWFIN TUNA","7"
"2010","O","NR",,"YFT","YELLOWFIN TUNA","4"
"2011","O","NR",,"SKJ","SKIPJACK TUNA","5"
"2011","O","NR",,"YFT","YELLOWFIN TUNA","6"
"2012","O","NR",,"SKJ","SKIPJACK TUNA","3"
"2012","O","NR",,"YFT","YELLOWFIN TUNA","8"
"2013","O","NR",,"SKJ","SKIPJACK TUNA","3"
"2013","O","NR",,"YFT","YELLOWFIN TUNA","16"
"2014","O","NR",,"SKJ","SKIPJACK TUNA","3"
"2014","O","NR",,"YFT","YELLOWFIN TUNA","16"
"2015","O","NR",,"SKJ","SKIPJACK TUNA","3"
"2015","O","NR",,"YFT","YELLOWFIN TUNA","16"
"2016","O","NR",,"SKJ","SKIPJACK TUNA","3"
"2016","O","NR",,"YFT","YELLOWFIN TUNA","16"
"2017","O","NR",,"SKJ","SKIPJACK TUNA","3"
"2017","O","NR",,"YFT","YELLOWFIN TUNA","16"
"2018","O","NR",,"SKJ","SKIPJACK TUNA","6"
"2018","O","NR",,"YFT","YELLOWFIN TUNA","11"
"2019","O","NR",,"SKJ","SKIPJACK TUNA","1"
"2019","O","NR",,"YFT","YELLOWFIN TUNA","6"
"2020","O","NR",,"SKJ","SKIPJACK TUNA","1"
"2020","O","NR",,"YFT","YELLOWFIN TUNA","9"
"2021","O","NR",,"SKJ","SKIPJACK TUNA","2"
"2021","O","NR",,"YFT","YELLOWFIN TUNA","18"
